seller,profile_url,products,observations,categories,top_category,ratings_total,rated_products,ratings_rank,ratings_share_pct,med_price_usd,min_price_usd,max_price_usd,free_products,subs,top_product_url,top_product_ratings,top_product_title
niccofx,https://niccofx.gumroad.com,2,2,2,Business & Money,20,1,791,0.0098,198.34,97.14,299.54,0,0,https://niccofx.gumroad.com/l/blueprint,20,The Ultimate Complete Trading A-Z V2 — 250 Chapters | From Zero to Fun
blackhound,https://blackhound.gumroad.com,1,1,1,Drawing & Painting > Artwork & Commissions,20,1,792,0.0098,5.01,5.01,5.01,0,1,https://blackhound.gumroad.com/l/jvhrnw,20,Black Hound Black Hound £3.72 a month 4.5 (20)
cinephilefromparis,https://cinephilefromparis.gumroad.com,1,1,1,Films > Comedy,20,1,793,0.0098,23.08,23.08,23.08,0,0,https://cinephilefromparis.gumroad.com/l/deveniracteur,20,Le Guide de l'Acteur A CINEPHILE FROM PARIS. 4.9 (20) £17.14
deafmanskwx,https://deafmanskwx.gumroad.com,1,2,2,Music & Sound Design > Sound Design > Plugins > Ableton Live,20,1,794,0.0098,56.56,56.56,56.56,0,0,https://deafmanskwx.gumroad.com/l/tgsvwx,20,::: DeafMan Complete Ableton Theme Collection ::: DMT - Live 12 Theme
ehcya,https://ehcya.gumroad.com,1,1,1,3D > Animating,20,1,795,0.0098,14.81,14.81,14.81,0,0,https://ehcya.gumroad.com/l/swingy-bone-physics,20,Swingy Bone Physics ehcya 4.6 (20) £11.00
keplercafe,https://keplercafe.gumroad.com,1,1,1,Other,20,1,796,0.0098,20.04,20.04,20.04,0,0,https://keplercafe.gumroad.com/l/ddpro,20,DockDoor Pro kepler.cafe 4.9 (20) £14.88
ketorecipess,https://ketorecipess.gumroad.com,1,2,2,Fitness & Health > Weight Loss & Dieting,20,1,797,0.0098,0.0,0.0,0.0,1,0,https://ketorecipess.gumroad.com/l/ketorecipes,20,100 High-Protein Bowl Recipes Lose Fat • Boost Energy And Reduce Infla
ktecharms,https://ktecharms.gumroad.com,1,1,1,3D > 3D Assets > Unity,20,1,798,0.0098,9.01,9.01,9.01,0,0,https://ktecharms.gumroad.com/l/abproe,20,"Vrchat Fantasy tribal armor (Rexouium, nardoragon, Hyenid) K-Tech VRC"
lavysworlds,https://lavysworlds.gumroad.com,1,1,1,3D > 3D Assets > Clothing > Sweaters,20,1,799,0.0098,0.0,0.0,0.0,1,0,https://lavysworlds.gumroad.com/l/VixSweater,20,The Vixine - Tricot Sweater Lavy 5.0 (20) £0.00+
leoai,https://leoai.gumroad.com,1,1,1,Design > Icons > Vector Icons,20,1,800,0.0098,24.04,24.04,24.04,0,0,https://leoai.gumroad.com/l/tmbrk,20,"Color SVG Icon Set: 4200+ Icons in 23 Colors, Covering 40+ Themes Leo"
moderndayjames,https://moderndayjames.gumroad.com,1,2,2,Films > Movie > Animation,20,1,801,0.0098,100.18,100.18,100.18,0,0,https://moderndayjames.gumroad.com/l/qlmqmj,20,Cinematic Drawing for Animation and Comics (RECORDINGS) moderndayjames
nicolecrowell,https://nicolecrowell.gumroad.com,1,3,3,Business & Money > Marketing & Sales > Social Media,20,1,802,0.0098,998.41,998.41,998.41,0,0,https://nicolecrowell.gumroad.com/l/mastercourse,20,Creative Strategy Master Course 🧠 By: Nicole Crowell Nicole Crowell To
simpvrc,https://simpvrc.gumroad.com,1,1,1,Films > Dance,20,1,803,0.0098,30.06,30.06,30.06,0,0,https://simpvrc.gumroad.com/l/simpElf,20,E L F S I M P 4.9 (20) £22.32+
thelogolassie,https://thelogolassie.gumroad.com,1,1,1,Design > Graphics > Mockups > Photoshop,20,1,804,0.0098,67.34,67.34,67.34,0,0,https://thelogolassie.gumroad.com/l/aimockupworkshop,20,Ai Mockups & Brand Imagery Workshop | The Logo Lassie Morgan Hastie 5.
tuviatenenbom,https://tuviatenenbom.gumroad.com,1,1,1,Films > Documentary,20,1,805,0.0098,16.03,16.03,16.03,0,0,https://tuviatenenbom.gumroad.com/l/GodSpeaksYiddish,20,Watch God Speaks Yiddish Online | Official Movie Stream Stream the awa
tytoalba,https://tytoalba.gumroad.com,1,1,1,Comics & Graphic Novels,20,1,806,0.0098,10.02,10.02,10.02,0,0,https://tytoalba.gumroad.com/l/axctrj,20,HeavyCream Chapter 1 Digital Book tytoalba 5.0 (20) £7.44+
nurseprofessornp,https://nurseprofessornp.gumroad.com,5,10,3,Education > Science > Medicine,19,5,807,0.0093,7.02,7.02,50.08,0,0,https://nurseprofessornp.gumroad.com/l/nomxi,11,NP Study Bundle Grace (APRN FNP-C) 5.0 (11) £37.19
rephazer,https://rephazer.gumroad.com,5,5,1,Music & Sound Design > Sound Design > Samples,19,3,808,0.0093,21.94,21.94,115.44,0,0,https://rephazer.gumroad.com/l/ygmpqu,10,Teenage Engineering OP Drum Sound Pack | Field Rhythm | OP1 | OPZ | Fi
kmixc,https://kmixc.gumroad.com,3,3,1,Design > Graphics > Textures & Patterns (2D),19,3,809,0.0093,0.0,0.0,0.0,3,0,https://kmixc.gumroad.com/l/scantexturesvolume1,8,Scan Textures Vol.01 Oliver Kmixc 5.0 (8) £0.00+
moelueker,https://moelueker.gumroad.com,3,3,2,Business & Money > Entrepreneurship,19,3,810,0.0093,14.83,14.69,14.91,0,0,https://moelueker.gumroad.com/l/SunoGuide,14,SUNO AI Expert Guide – Quickly Create Professional AI Music and Hit So
alexestner,https://alexestner.gumroad.com,2,2,2,Business & Money > Entrepreneurship > Resources,19,1,811,0.0093,141.93,111.93,171.93,0,0,https://alexestner.gumroad.com/l/database-growth-strategies-saas,19,"100+ actionable, proven SaaS Growth Tactics: Grow faster from 0€ to 3€"
roxanelapa,https://roxanelapa.gumroad.com,2,2,1,Drawing & Painting > Digital Illustration > Illustration Kits,19,2,812,0.0093,5.01,5.01,5.01,0,0,https://roxanelapa.gumroad.com/l/DigitalRainbowScratchboard,12,Roxy's Digital Rainbow Scratchboard + Brush Roxane Lapa 5.0 (12) £3.72
tejujangid,https://tejujangid.gumroad.com,2,4,3,Drawing & Painting,19,2,813,0.0093,17.02,15.02,19.03,0,0,https://tejujangid.gumroad.com/l/Thickimpastobrushes,10,Thick Impasto procreate brushes IMPORTANT — Please read before purchas
aysuhoscan,https://aysuhoscan.gumroad.com,1,2,2,3D > Textures,19,1,814,0.0093,12.01,12.01,12.01,0,0,https://aysuhoscan.gumroad.com/l/abntools,19,ABN Painterly Normals - Easy Painterly Normals Aysu Hoşcan (progjent)
burnstoshine,https://burnstoshine.gumroad.com,1,1,1,3D > VRChat > Followers,19,1,815,0.0093,10.02,10.02,10.02,0,0,https://burnstoshine.gumroad.com/l/lunaris,19,Dragon Companion & Follower - Lunaris for VRChat Lunaris - a magical d
greggunn,https://greggunn.gumroad.com,1,1,1,Design > Print & Packaging > Illustrator,19,1,816,0.0093,20.03,20.03,20.03,0,0,https://greggunn.gumroad.com/l/pro-palettes-vol-1,19,Pro Palettes - Volume 1 Greg Gunn 5.0 (19) £14.87
hifeer,https://hifeer.gumroad.com,1,1,1,Music & Sound Design > Sound Design > Samples,19,1,817,0.0093,17.02,17.02,17.02,0,0,https://hifeer.gumroad.com/l/Mainstagelove,19,HIFEER - MainStage Love (Vol.1) SAMPLE PACK - Techno / Trance / Bigroo
houstonhanna,https://houstonhanna.gumroad.com,1,1,1,Design > Print & Packaging > Illustrator,19,1,818,0.0093,19.03,19.03,19.03,0,0,https://houstonhanna.gumroad.com/l/hnbFzm,19,Neonwave Retro Future Grids and Shapes Houston Hanna 5.0 (19) £14.13
jamiewilson,https://jamiewilson.gumroad.com,1,1,1,Design > Fonts,19,1,819,0.0093,0.0,0.0,0.0,1,0,https://jamiewilson.gumroad.com/l/norwester-pro,19,Norwester Pro Jamie Wilson 5.0 (19) £0.00
meshhouse,https://meshhouse.gumroad.com,1,1,1,3D > 3D Modeling,19,1,820,0.0093,0.0,0.0,0.0,1,0,https://meshhouse.gumroad.com/l/tracktools,19,TrackToolsV2.1 - BETA MeshHouse 4.8 (19) £0.00+
o365itpros,https://o365itpros.gumroad.com,1,6,6,3D > VRChat > Worlds > Udon 2,19,1,821,0.0093,59.95,59.95,59.95,0,0,https://o365itpros.gumroad.com/l/O365IT,19,Microsoft 365 for IT Pros (2027 Edition). The Ultimate Guide to Managi
organizeddashboard,https://organizeddashboard.gumroad.com,1,1,1,Design > Graphics > Assets & Templates,19,1,822,0.0093,19.03,19.03,19.03,0,0,https://organizeddashboard.gumroad.com/l/qkyzwu,19,Student Life OS Organized dashboard 4.8 (19) £14.13
sakuu,https://sakuu.gumroad.com,1,1,1,3D > VRChat,19,1,823,0.0093,35.01,35.01,35.01,0,0,https://sakuu.gumroad.com/l/Ash_by_SaKuu__,19,⟢-[ Ash | Female/Femboy | PC Only | VRCFT ]-⟢ SaKuu__ 5.0 (19) £26+
