url,permalink,title,seller,seller_url,price_usd,is_free,discloses_sales,sales_count,ratings_count,ratings_avg,sales_per_rating,seller_products,seller_ratings_total,top_category
https://foxipaws.gumroad.com/l/Dantee,aabrr,Dante Canine/Wolf  (PC+QUEST) Facetracking + Good Rank Furry,FoxiPaws,https://foxipaws.gumroad.com,35.00,False,False,,549,5.0,,37,10786,3d
https://foxipaws.gumroad.com/l/Elliot,symzu,Elliot Deer/Goat/Ram Furry Vrchat 3.0 (PC + QUEST FACETRACKING) ,FoxiPaws,https://foxipaws.gumroad.com,35.00,False,False,,144,5.0,,37,11191,3d
https://foxipaws.gumroad.com/l/Nebula2,iqqfh,Nebula the Foxigen - Vrchat Furry Avatar - Facetracking - PC + QUEST,FoxiPaws,https://foxipaws.gumroad.com,35.00,False,False,,363,5.0,,37,10972,3d
https://foxipaws.gumroad.com/l/Nyx,ttjdim,Nyx the Snow Leopard Kitty Cat  - Furry Vrchat Avatar (PC + QUEST + FACETRACKING),FoxiPaws,https://foxipaws.gumroad.com,35.00,False,False,,259,5.0,,37,11076,3d
https://foxipaws.gumroad.com/l/Roxy,pcfcao,Roxy Puppy Dog Pom - Furry Vrchat Avatar (PC + QUEST + FACETRACKING) ,FoxiPaws,https://foxipaws.gumroad.com,35.00,False,False,,173,5.0,,37,11162,3d
https://fromhispresence.gumroad.com/l/XFRmw,XFRmw,Monthly Partnership with Jamie,Jamie Rohrbaugh,https://fromhispresence.gumroad.com,0.00,True,False,,38,4.7,,171,1447,audio
https://frostywuff.gumroad.com/l/kvvstg,kvvstg,Casual Outfit for Novabeast (V1 - V1.2 compatible) ,Frosty,https://frostywuff.gumroad.com,15.00,False,False,,7,5.0,,18,218,3d/3d-assets/clothing
https://fuchsundvogel.gumroad.com/l/zORJ,zORJ,FuV CanvasSize,Fuchs & Vogel,https://fuchsundvogel.gumroad.com,12.00,False,False,,42,4.7,,8,25,3d/3d-assets/cinema-4d
https://furbo.gumroad.com/l/dovvnv,dovvnv,FυɾႦσ'ʂ Mҽʂʂყ Ⴆυɳ ʂƚყʅҽ // VRCԋαƚ // Aʋαƚαɾ αƈƈҽʂʂσɾყ,Furbo_,https://furbo.gumroad.com,10.00,False,False,,7,5.0,,6,97,3d/3d-assets/accessories
https://fuzzbooth.gumroad.com/l/blackcollar,eohsa,Black Collar 3D Model,Fuzzbooth,https://fuzzbooth.gumroad.com,3.99,False,False,,0,0.0,,,,3d/3d-assets/accessories/chokers
https://gabe1resells.gumroad.com/l/vpnmg,vpnmg,WATCH BELT JEWELEY VENDOR,Gabe,https://gabe1resells.gumroad.com,10.99,False,False,,0,0.0,,,,3d/3d-assets/accessories/jewelry
https://gamma22.gumroad.com/l/diamond,hgfhg,Diamond Round Cut 3D model,ArchViz Assets - Gamma 2.2,https://gamma22.gumroad.com,5.00,False,False,,0,0.0,,8,83,3d/3d-assets/accessories/jewelry
https://gell3d.gumroad.com/l/LongHair2,gjioh,Hair (#1) Long Female - VRChat Asset,Gell3D,https://gell3d.gumroad.com,10.00,False,False,,3,3.0,,57,397,3d/3d-assets/avatar-components/hair
https://gell3d.gumroad.com/l/TailShark,hcqiqh,Tail (#1) Shark - VRChat Asset,Gell3D,https://gell3d.gumroad.com,12.00,False,False,,9,4.9,,57,391,3d/3d-assets/avatar-components/tails
https://gell3d.gumroad.com/l/angelwing1,jqbgn,Wings (#4) Angel - VRChat Asset,Gell3D,https://gell3d.gumroad.com,8.00,False,False,,0,0.0,,58,400,3d/3d-assets/accessories/wings
https://gell3d.gumroad.com/l/byaqia,byaqia,Ears (#5) Wolf Fluffy - VRChat Asset,Gell3D,https://gell3d.gumroad.com,10.00,False,False,,5,5.0,,57,395,3d/3d-assets/avatar-components/ears
https://gell3d.gumroad.com/l/ears1,gzosd,Ears (#1) Fox - VRChat Asset,Gell3D,https://gell3d.gumroad.com,8.00,False,False,,3,5.0,,57,397,3d/3d-assets/avatar-components/ears
https://gell3d.gumroad.com/l/ears3piercing,raadw,Ears (#3) Piercings - VRChat Asset - Commercial Use,Gell3D,https://gell3d.gumroad.com,9.00,False,False,,0,0.0,,58,400,3d/3d-assets/avatar-components/ears
https://gell3d.gumroad.com/l/ears4,ngzti,Ears (#4) FREE - Commercial Use - VRChat Asset,Gell3D,https://gell3d.gumroad.com,0.00,True,False,,77,5.0,,57,323,3d/3d-assets/avatar-components/ears
https://gell3d.gumroad.com/l/ears7,hdopns,Ears (#7) Fennec - VRChat Asset,Gell3D,https://gell3d.gumroad.com,9.00,False,False,,0,0.0,,58,400,3d/3d-assets/avatar-components/ears
https://gell3d.gumroad.com/l/ears8piercings,mswsc,Ears (#8) Fluffy Piercings - VRChat Asset,Gell3D,https://gell3d.gumroad.com,10.00,False,False,,1,5.0,,57,399,3d/3d-assets/avatar-components/ears
https://gell3d.gumroad.com/l/earsdog,dwgnm,Ears (#9) Fluffy Puppy Dog - VRChat Asset,Gell3D,https://gell3d.gumroad.com,10.00,False,False,,0,0.0,,58,400,3d/3d-assets/avatar-components/ears
https://gell3d.gumroad.com/l/hairanime,inwka,Hair (#7) Long Anime - VRChat Asset,Gell3D,https://gell3d.gumroad.com,12.00,False,False,,0,0.0,,58,400,3d/3d-assets/avatar-components/hair
https://gell3d.gumroad.com/l/longears,tkhsy,Ears (#10) Long Fluffy - Puppy Dog - Bunny Rabbit - VRChat Asset,Gell3D,https://gell3d.gumroad.com,10.00,False,False,,0,0.0,,58,400,3d/3d-assets/avatar-components/ears
https://gell3d.gumroad.com/l/tail2,ggxzk,Tail (#2) Dragon - VRChat Asset,Gell3D,https://gell3d.gumroad.com,12.00,False,False,,4,4.0,,57,396,3d/3d-assets/avatar-components/tails
https://gell3d.gumroad.com/l/tailcat,gvmjol,Tail (#7) Cat Fluffy Ribbon- VRChat Asset,Gell3D,https://gell3d.gumroad.com,12.00,False,False,,3,4.7,,57,397,3d/3d-assets/avatar-components/tails
https://gell3d.gumroad.com/l/wings5,hybhbg,Wings (#5) Angel Ribbon Bow - VRChat Asset,Gell3D,https://gell3d.gumroad.com,10.00,False,False,,0,0.0,,58,400,3d/3d-assets/accessories/wings
https://geoimgr.gumroad.com/l/geoimgr,TdVwG,GeoImgr Pro Subscription,GeoImgr,https://geoimgr.gumroad.com,0.00,True,False,,184,4.8,,,,3d/3d-assets/3ds-max
