url,status,sales_count,ratings_count,price,fetched_at,currency,is_pwyw,pwyw_suggested,product_name,seller,note
https://22722studios.gumroad.com/l/yFocf,disclosed,1165,68,80.00,2026-08-26T16:18:13.684234+00:00,usd,yes,125.00,Rig-GNS (Pro) 4.4.1,22722studios,
https://2winvisuals.gumroad.com/l/mtsodx,disclosed,128,6,35.00,2026-08-26T16:18:18.364450+00:00,usd,no,,DaVinci Resolve Music Video Essentials ,2winvisuals,
https://3drnb.gumroad.com/l/tuqpoj,disclosed,50,6,79.90,2026-08-26T16:18:23.323462+00:00,usd,no,,[NEW CORONA] High Quality Rug Collection | Corona for Cinema 4D  ,3drnb,
https://abyssalfenge.gumroad.com/l/velglj,disclosed,24,2,0.00,2026-08-26T16:18:27.689856+00:00,usd,yes,,2024 Taidum Glasses,abyssalfenge,
https://abyssalfenge.gumroad.com/l/xminj,disclosed,179,4,0.00,2026-08-26T16:18:32.118619+00:00,usd,yes,5.00,Taidum Gloves (3.0 Taidum) [VRCFury Prefab],abyssalfenge,
https://actiondyneindustries.gumroad.com/l/RIqXp,disclosed,94,1,5.00,2026-08-26T16:18:36.499349+00:00,usd,yes,5.00,Nebulaction Pro Brush Set,actiondyneindustries,
https://adamedits.gumroad.com/l/anloru,disclosed,419,11,19.99,2026-08-26T16:18:41.042610+00:00,usd,yes,,TYPESSENTIALS — 100+ Customizable Text Presets for DaVinci Resolve,adamedits,
https://afinity.gumroad.com/l/bassify-ableton-racks,disclosed,1990,42,25.00,2026-08-26T16:18:45.736677+00:00,usd,no,,Bassify (for Ableton Live 11 & 12 Suite),afinity,
https://ahshotti.gumroad.com/l/longlocs,disclosed,133,3,10.00,2026-08-26T16:18:50.214452+00:00,usd,yes,10.00,Long Locs COMMERICAL LICENSE,ahshotti,
https://ahshotti.gumroad.com/l/wicks,disclosed,269,14,10.00,2026-08-26T16:18:55.047407+00:00,usd,yes,10.00,Wicks COMMERICAL LICENSE,ahshotti,
https://airtight.gumroad.com/l/ZDXrb,disclosed,1946,82,0.00,2026-08-26T16:18:59.745385+00:00,usd,no,,Mosh-Pro Yearly Subscription,airtight,
https://akashxxn.gumroad.com/l/ultimatepresetbundle,disclosed,422,7,14.99,2026-08-26T16:19:04.452249+00:00,usd,no,,"Ultimate Lightroom Preset & LUT Bundle – 100+ Presets + 10 LUTs for Mobile, Desktop & Video Editing | All-in-One Photo & Video Editing Pack",akashxxn,
https://akdenizdesigns.gumroad.com/l/WaveBracelet,disclosed,2,2,10.00,2026-08-26T16:19:08.946447+00:00,eur,no,,Akdeniz Designs - Wave Bracelet (Handmade),akdenizdesigns,
https://akumadem0n.gumroad.com/l/Celestial_Twin_Angel_Demon_Wings,disclosed,49,8,5.00,2026-08-26T16:19:13.698852+00:00,eur,yes,,Celestial Twin Wings Bundle - Angel & Demon [Commercial Use],akumadem0n,
https://akumadem0n.gumroad.com/l/CuteAngelPouch,disclosed,8,6,5.00,2026-08-26T16:19:18.348232+00:00,usd,yes,,Cute Angel Pouch | Avatar Decoration Asset [Commercial Use],akumadem0n,
https://alexruskman.gumroad.com/l/35mmvintageanalogfilmlightroompresets,disclosed,3014,317,36.00,2026-08-26T16:19:23.226269+00:00,eur,no,,135mm 35mm Vintage Analog Film Lightroom Presets | Lightroom & LR Classic | Digital ,alexruskman,
https://altarch.gumroad.com/l/nanobananacheatsheet,disclosed,736,7,7.00,2026-08-26T16:19:28.020283+00:00,usd,no,,Nano Banana Prompt Cheat Sheet for Architects,altarch,
https://alwaysyouramanda.gumroad.com/l/fthrdwngs,disclosed,2,1,9.99,2026-08-26T16:19:32.739717+00:00,usd,no,,Feathered Wings - Rigged Character Attachment,alwaysyouramanda,
https://amoryfarms.gumroad.com/l/conditions,disclosed,2310,48,10.00,2026-08-26T16:19:37.238885+00:00,usd,no,,Conditions,amoryfarms,
https://amrofilms.gumroad.com/l/ksnikx,disclosed,1214,27,19.99,2026-08-26T16:19:41.750387+00:00,usd,no,,Animated Instagram Captions Pack - DaVinci Resolve 18+,amrofilms,
https://amyxcrystal.gumroad.com/l/kriaerihe,disclosed,3,1,6.00,2026-08-26T16:19:48.924187+00:00,usd,yes,,Kri's Aeri Head Edit By CrystalTheBaka,amyxcrystal,
https://amyxcrystal.gumroad.com/l/littledevilhairpack,disclosed,11,1,0.00,2026-08-26T16:19:53.644166+00:00,usd,yes,,Little Devil Hair Pack By CrystalTheBaka,amyxcrystal,
https://amyxcrystal.gumroad.com/l/willaheadedit,disclosed,36,5,5.00,2026-08-26T16:19:58.041436+00:00,usd,yes,,Willa Head Edit By CrystalTheBaka,amyxcrystal,
https://anselarchive.gumroad.com/l/conto,disclosed,210,1,30.00,2026-08-26T16:20:02.892420+00:00,eur,yes,,Conto - Minimal Dark Theme Filmmaker Portfolio Readymag Template by Ansel,anselarchive,
https://anselarchive.gumroad.com/l/simantic,disclosed,395,3,25.00,2026-08-26T16:20:07.901576+00:00,eur,yes,,Simantic - Photography Portfolio  Readymag Template by Ansel,anselarchive,
https://archfloyd.gumroad.com/l/archfloyd,disclosed,5710,56,15.00,2026-08-26T16:20:12.722229+00:00,aud,no,,Procreate Line Art and Architecture Brush Suite ,archfloyd,
https://arcturianfrequency.gumroad.com/l/TheArcturianAbundanceCodex,disclosed,30,3,33.33,2026-08-26T16:20:17.977244+00:00,usd,no,,The Arcturian Abundance Codex — 7 Guided Audio Transmissions,arcturianfrequency,
https://atlasreed.gumroad.com/l/elite5percent,disclosed,77,1,279.00,2026-08-26T16:20:22.619186+00:00,usd,no,,The Elite 5% Complete Physique System 2.0,atlasreed,
https://atlasreed.gumroad.com/l/stillsoft60,disclosed,107,1,49.00,2026-08-26T16:20:27.148928+00:00,usd,no,,Still Strong After 60? The 5% Brotherhood Manual,atlasreed,
https://behemox.gumroad.com/l/hairgenerator,disclosed,1764,30,19.50,2026-08-26T16:20:32.139981+00:00,usd,no,,Behemox Hair Generator for Blender,behemox,
https://bemeesshrine.gumroad.com/l/dangerbackpack,disclosed,11,4,3.00,2026-08-26T16:20:37.015374+00:00,eur,yes,,Danger Backpack,bemeesshrine,
https://bigschmeatyy.gumroad.com/l/Prefab_FluffyHair,disclosed,10,1,15.00,2026-08-26T16:20:41.942559+00:00,usd,yes,15.00,VRChat | Fluffy Mohawk Hairstyle,bigschmeatyy,
https://blackjax.gumroad.com/l/AvatarHead,disclosed,54,10,25.00,2026-08-26T16:20:46.859258+00:00,usd,yes,25.00,BlackJaxVR's Avatar Head (ARKit Face Tracking),blackjax,
https://bluesssatan.gumroad.com/l/OJpdF,disclosed,23502,1119,7.77,2026-08-26T16:20:51.428093+00:00,usd,no,,Bluesssatan brush set for Procreate app ,bluesssatan,
https://brianfunk.gumroad.com/l/admmpc,disclosed,279,121,0.00,2026-08-26T16:20:56.299299+00:00,usd,no,,Music Production Club,brianfunk,
https://byhuy.gumroad.com/l/freelancedashboard,disclosed,277,12,149.99,2026-08-26T16:21:01.802089+00:00,usd,no,,The Solopreneur Operating System,byhuy,
https://chirpypro.gumroad.com/l/chirpy-custom-notification-sounds,disclosed,524,9,0.00,2026-08-26T16:21:06.712639+00:00,usd,no,,"🔔 Chirpy – Custom Notification Sounds for Slack, Teams & Any Mac App",chirpypro,
https://chromelabs.gumroad.com/l/glare,disclosed,1691,65,15.00,2026-08-26T16:21:13.104723+00:00,usd,no,,✨ GLARE for Blender | Make Your Renders Shine | Bloom & Lensflare FX,chromelabs,
https://chuanhu.gumroad.com/l/fppt,not_disclosed,,,99.90,2026-08-26T16:21:17.779034+00:00,usd,no,,FPPT - Figma to PPT,chuanhu,seller does not publish the unit count
https://cleartheshelf.gumroad.com/l/SourceLens,disclosed,372,5,97.00,2026-08-26T16:21:22.490881+00:00,usd,no,,SourceLens — The Smartest Keepa Overlay for Amazon OA Sellers,cleartheshelf,
https://codegrid.gumroad.com/l/codegridpro,not_disclosed,,168,0.00,2026-08-26T16:21:27.283050+00:00,usd,no,,CodegridPRO,codegrid,seller does not publish the unit count
https://coolgrades.gumroad.com/l/coolgrades,disclosed,129,6,70.00,2026-08-26T16:21:32.287184+00:00,eur,no,,coolgrades: davinci resolve powergrades + cinematic color workflow,coolgrades,
https://crashsune.gumroad.com/l/LowPolyCourse,disclosed,4340,305,59.99,2026-08-26T16:21:37.180373+00:00,usd,no,,Create Animated Low Poly Characters – Even If You've Never Opened Blender,crashsune,
https://d5library.gumroad.com/l/ldwpl,disclosed,20,1,35.00,2026-08-26T16:21:42.341563+00:00,usd,no,,D5 Render Library Architecture Pack,d5library,
https://dailyrepsguy.gumroad.com/l/DailyRepsGuy-PDF,disclosed,27856,127,0.00,2026-08-26T16:21:47.064050+00:00,usd,yes,10.00,How to Get Jacked in Under 20 Minutes a Day,dailyrepsguy,
https://damosfilm.gumroad.com/l/cinelutsv2,disclosed,697,2,70.00,2026-08-26T16:21:51.651131+00:00,usd,no,,CINE LUTS V2,damosfilm,
https://damosfilm.gumroad.com/l/cinematiclutpack,disclosed,4422,13,70.00,2026-08-26T16:21:56.230888+00:00,usd,no,,CINEMATIC LUTS V1,damosfilm,
