node,slug,url,seller,cur,price,price_usd,nrat,n,stars,recurring,t
3D,3d,https://meowiie.gumroad.com/l/Umbra,meowiie,£,33.46,45.06,18,18,5.0,False,Umbra | Deira | VRChat Avatar Kainet & Meowiie 5.0 (18) £33.46
3D > 3D Assets,3d/3d-assets,https://erasers45.gumroad.com/l/blockblender2,erasers45,£,0.0,0.0,37,37,4.9,False,VoxelVision IV (formerly BlockBlender) Official TrailerVoxelVision 4.1
3D > 3D Assets,3d/3d-assets,https://glukoz.gumroad.com/l/uvpackmaster,glukoz,£,32.72,44.06,334,334,5.0,False,UVPackmaster PRO for Blender (latest) UVPackmaster 4 FAQFor answers to
3D > 3D Assets,3d/3d-assets,https://bartoszstyperek.gumroad.com/l/hairtool,bartoszstyperek,£,38.67,52.08,989,989,4.9,False,Hair Tool for Blender Hair Tool is Blender add-on that will help you:
3D > 3D Assets,3d/3d-assets,https://grafitcubeschool.gumroad.com/l/blender25d,grafitcubeschool,£,208.21,280.4,31,31,4.6,False,Insane 2.5D Blender – Early Access – 7 Chapters with 40% OFF – Code EA
3D > 3D Assets,3d/3d-assets,https://markcreator.gumroad.com/l/Polytool,markcreator,£,0.0,0.0,451,451,4.7,False,Polytool Polytool is a Unity tool that helps you optimize your avatars
3D > 3D Assets,3d/3d-assets,https://dillongoo.gumroad.com/l/goo-physics,dillongoo,£,14.87,20.03,24,24,4.8,False,Goo Physics An easy-to-use custom physics solution for stylized simula
3D > 3D Assets,3d/3d-assets,https://borovikmotion.gumroad.com/l/smart_layer,borovikmotion,£,48.33,65.09,26,26,5.0,False,Smart Layer v0.91.0 (Python Script for Maya) Smart Layer is a game-cha
3D > 3D Assets,3d/3d-assets,https://nhanceschool.gumroad.com/l/SimpleDiffuse,nhanceschool,$,25.0,25.0,196,196,5.0,False,SimpleDiffuse - Easy Texturing SimpleDiffuse - Easy texturing Create s
3D > 3D Assets,3d/3d-assets,https://leartesstudios.gumroad.com/l/supersummersonicunreal,leartesstudios,£,148.71,200.27,2,2,5.0,False,Super Summersonic Limited-Time Mega Discounted Unreal Engine Bundle Le
3D > 3D Assets,3d/3d-assets,https://blender-archipack.gumroad.com/l/ZRMyP,blender-archipack,£,41.98,56.53,295,295,4.7,False,Blender-Archipack Stephen L. 4.7 (295) £41.98
3D > 3D Assets,3d/3d-assets,https://pavelbarnev.gumroad.com/l/OverRigBasic,pavelbarnev,£,52.05,70.1,99,99,5.0,False,basic scripts for the OverRig animation method Pavel Barnev Top creato
3D > 3D Assets,3d/3d-assets,https://polygoniq.gumroad.com/l/botaniq-trees,polygoniq,£,1.49,2.01,219,219,4.8,False,Tree Library Botaniq Trees+Plants polygoniq Top creator 4.8 (219) £1.4
3D > 3D Assets,3d/3d-assets,https://hirabiki.gumroad.com/l/rpnel,hirabiki,£,7.44,10.02,347,347,5.0,False,VRCLens: VRChat Camera Extension for Desktop and VR Hirabiki 5.0 (347)
3D > 3D Assets,3d/3d-assets,https://ryankingart.gumroad.com/l/ultimate-materials,ryankingart,£,55.77,75.11,62,62,5.0,False,Ultimate Blender Procedural Material Pack Ryan King Art 5.0 (62) £55.7
3D > 3D Assets,3d/3d-assets,https://vertexarcade.gumroad.com/l/adjustable-mannequin,vertexarcade,£,4.28,5.76,130,130,4.7,False,Adjustable Mannequin v1.3 - Blender 4.3+ Vertex Arcade 4.7 (130) £4.28
3D > 3D Assets,3d/3d-assets,https://darksideralex.gumroad.com/l/nohzgi,darksideralex,£,11.15,15.02,70,70,4.8,False,[P.0.E] - Fashion Suit Process of Elimination 4.8 (70) £11.15
3D > 3D Assets,3d/3d-assets,https://berkkaplan.gumroad.com/l/bQtHg,berkkaplan,£,95.92,129.18,139,139,5.0,False,Blender for Car Design Course (for Beginners) Berk Kaplan 5.0 (139) £9
3D > 3D Assets,3d/3d-assets,https://embracefx.gumroad.com/l/damagecontrol,embracefx,£,44.62,60.09,2,2,5.0,False,Damage Control - Ultimate Bundle (Early Birds Price!) Embrace FX 5.0 (
3D > 3D Assets,3d/3d-assets,https://alexsokol.gumroad.com/l/catpin,alexsokol,£,22.31,30.05,8,8,4.8,False,CatPin - Blender Add-on AlexSokol 4.8 (8) £22.31 £11.15
3D > 3D Assets,3d/3d-assets,https://trixel.gumroad.com/l/pcpie,trixel,£,37.18,50.07,16,16,4.9,False,Caine (The Amazing Digital Circus) (Blender 5.0+) Trixel 4.9 (16) £37.
3D > 3D Assets,3d/3d-assets,https://pavelbarnev.gumroad.com/l/shift_animation_tool,pavelbarnev,£,37.18,50.07,41,41,5.0,False,Shifting animation tool for MAYA Pavel Barnev Top creator 5.0 (41) £37
3D > 3D Assets,3d/3d-assets,https://wooddrone.gumroad.com/l/ultrafit,wooddrone,£,7.95,10.71,1,1,5.0,False,Ultra.Fit (Alphazear Northern Aspil Dergal Faelyn Fara Fluffgan Kuda M
3D > 3D Assets,3d/3d-assets,https://warrenwolfy.gumroad.com/l/atntv,warrenwolfy,£,0.0,0.0,690,690,4.9,False,Warren's Fast Fur Shader Warren 4.9 (690) £0.00+
3D > 3D Assets,3d/3d-assets,https://alanwayne.gumroad.com/l/CCG,alanwayne,£,6.68,9.0,44,44,4.5,False,Cinematic Compositor Addon ALANWAYNE 4.5 (44) £6.68+
3D > 3D Assets,3d/3d-assets,https://dkolpakov.gumroad.com/l/Overlapper,dkolpakov,£,14.87,20.03,111,111,4.6,False,Overlapper 1.1.2 Dmitrii Kolpakov Top creator 4.6 (111) £14.87
3D > 3D Assets,3d/3d-assets,https://glukoz.gumroad.com/l/uvpackmaster-maya,glukoz,£,29.0,39.05,12,12,5.0,False,UVPackmaster PRO for Maya (latest) glukoz (3Coords) Top creator 5.0 (1
3D > 3D Assets,3d/3d-assets,https://pixelicacg.gumroad.com/l/bktxo,pixelicacg,£,10.27,13.83,11,11,4.6,False,Hair Card Studio (Hair Card Creator Addon for Blender) PixelicaCG 4.6
3D > 3D Assets,3d/3d-assets,https://reava.gumroad.com/l/CHIRP_Collars,reava,£,5.14,6.92,61,61,5.0,False,CHIRP Collar Megapack (+ OSC Leash & Bracelets + Pride Pack) Reava_ 5.
3D > 3D Assets,3d/3d-assets,https://overpower.gumroad.com/l/rzmlv,overpower,€,5.0,5.77,163,163,4.8,False,Segra Ultimat V1.7.9 + OPCORE (temporary) OverPower 4.8 (163) €5+
3D > 3D Assets,3d/3d-assets,https://principalforms.gumroad.com/l/details-matter,principalforms,£,37.18,50.07,13,13,5.0,False,Blender Kitbash Pack Principal Forms 5.0 (13) £37.18
3D > 3D Assets,3d/3d-assets,https://doublegum.gumroad.com/l/ClayDoh,doublegum,£,742.86,1000.42,43,43,5.0,False,Clay Doh - Tools & Shaders Rahul Parihar 5.0 (43) £742.86
3D > 3D Assets,3d/3d-assets,https://polygoncat.gumroad.com/l/PrismaBodysuit,polygoncat,$,10.0,10.0,17,17,4.7,False,Prisma Bodysuit Polycat 4.7 (17) $10+
3D > 3D Assets,3d/3d-assets,https://nobraintools.gumroad.com/l/rcafa,nobraintools,£,37.12,49.99,63,63,5.0,False,Maya Groomer's Tool Maya Groomer's Tool Top creator 5.0 (63) £37.12 a
3D > 3D Assets,3d/3d-assets,https://sweetwater112.gumroad.com/l/nardo-maw,sweetwater112,£,11.15,15.02,51,51,3.8,False,Nardoragon Maw remastered UPDATED For 3.1 Sweetwater 3.8 (51) £11.15
3D > 3D Assets,3d/3d-assets,https://milofox.gumroad.com/l/KitFox,milofox,$,45.0,45.0,235,235,4.9,False,KitFox | VRChat Avatar MiloFox 4.9 (235) $45
3D > 3D Assets,3d/3d-assets,https://polygoncat.gumroad.com/l/PolyFitSerisSportySet,polygoncat,$,10.0,10.0,1,1,5.0,False,PolyFit Seris Sporty Set Polycat 5.0 (1) $10+
3D > 3D Assets,3d/3d-assets,https://tekleed.gumroad.com/l/qgvvc,tekleed,£,148.72,200.28,,0,,False,Roblox Ocean System Tekleed £148.72
3D > 3D Assets,3d/3d-assets,https://inkblitz.gumroad.com/l/nxtset,inkblitz,£,11.9,16.03,2,2,5.0,False,"NXT Clothing Set ('Ultra' tech themed clothes, Multi av support) Inked"
3D > 3D Assets,3d/3d-assets,https://berkkaplan.gumroad.com/l/advanced,berkkaplan,£,95.92,129.18,77,77,5.0,False,Blender Advanced Car Design Course Berk Kaplan 5.0 (77) £95.92
3D > 3D Assets,3d/3d-assets,https://nix.gumroad.com/l/BroDynamics,nix,£,7.44,10.02,4,4,5.0,True,BroDynamics Michael Davydov Top creator 5.0 (4) £7.44 a month
3D > 3D Assets,3d/3d-assets,https://yonatanbary.gumroad.com/l/blendiniexporter,yonatanbary,£,36.44,49.07,7,7,5.0,False,Blendini: Export Any Geometry from Houdini to Blender Yonatan 5.0 (7)
3D > 3D Assets,3d/3d-assets,https://aidenart.gumroad.com/l/zinika,aidenart,£,8.92,12.01,130,130,4.9,False,VRChat Zinika hair ✖️ AIDENFUR 4.9 (130) £8.92+
3D > 3D Assets,3d/3d-assets,https://darksideralex.gumroad.com/l/oarfuw,darksideralex,£,14.87,20.03,,0,,False,[P.0.E] - OCEANIC // Activewear Process of Elimination £14.87
3D > 3D Assets,3d/3d-assets,https://udinbv.gumroad.com/l/shaders,udinbv,£,0.0,0.0,90,90,5.0,False,Udin Blender Shaders UDIN 5.0 (90) £0.00+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://reava.gumroad.com/l/CHIRP_Collars,reava,£,5.14,6.92,61,61,5.0,False,"CHIRP Collar Megapack (+ OSC Leash & Bracelets + Pride Pack) Collar, L"
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://dasteel.gumroad.com/l/Nova-OSC-Harness,dasteel,£,14.57,19.62,34,34,4.9,False,Novabeast | Nova-Harness - OSCLeash The Nova-Harness! (Head Strap not
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://dasteel.gumroad.com/l/Nardo-OSC-Harness,dasteel,£,14.57,19.62,9,9,4.4,False,Nardoragon | Nardo-Harness - OSCLeash The Nardo-Harness! (Head Strap n
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://inkblitz.gumroad.com/l/ultralight,inkblitz,£,5.95,8.01,4,4,5.0,False,Ultra GlowLight (Furality Ultra Themed Glowlight Set) For paypal (And
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://dasteel.gumroad.com/l/Mayu-OSC-Harness,dasteel,£,14.57,19.62,14,14,4.9,False,"Mayu | Mayu-Harness - OSCLeash The Mayu-Harness, With OSCLeash support"
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://skip4d.gumroad.com/l/clothesdlc,skip4d,£,22.31,30.05,44,44,4.9,False,Chibi Clothes & Accessories DLC [VRChat] Clothing &amp; Accessories fo
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://d5library.gumroad.com/l/ldwpl,d5library,£,26.03,35.05,1,1,5.0,False,"D5 Render Library Architecture Pack High-quality, ready-to-render asse"
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://solocat.gumroad.com/l/mayubandaid,solocat,£,3.72,5.01,12,12,4.9,False,"Bandaid for Mayu, Novabeast and others A highly customizable adhesive"
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://dasteel.gumroad.com/l/HeadStrap,dasteel,£,6.85,9.22,32,32,4.9,False,Novabeast | Harness Headpiece | Head Strap DaSteel 4.9 (32) £6.85+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://leluvfx.gumroad.com/l/air,leluvfx,£,8.92,12.01,,0,,False,Wind & Air Effects - GODOT LeLu £8.92
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://adamantunicorn.gumroad.com/l/visualizer,adamantunicorn,£,7.44,10.02,29,29,4.9,False,Audiolink visualizer for VRChat Adamant Assets 4.9 (29) £7.44
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://luxaeterna.gumroad.com/l/yqmtxy,luxaeterna,£,5.21,7.02,2,2,5.0,False,VRChat Keyblade Project Lux Aeterna 5.0 (2) £5.21+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://adamantunicorn.gumroad.com/l/HarnessBundle,adamantunicorn,£,11.15,15.02,,0,,False,Vulper Harness Bundle - Bulldog harness + Muzzle Adamant Assets £11.15
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://psychecyclops.gumroad.com/l/retro-backpacks,psychecyclops,£,4.28,5.76,3,3,5.0,False,👾 Retro Ita Backpacks [Universal] 🎒 inspired by Furality Ultra PsycheC
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://thecaveoflahmu.gumroad.com/l/tiamatsregalia,thecaveoflahmu,£,12.85,17.31,2,2,4.0,False,Tiamat's Regalia [For Alber's Draconian] Lahmu The Beast 4.0 (2) £12.8
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://jamesthemuttz.gumroad.com/l/RaveMask,jamesthemuttz,£,7.43,10.01,,0,,False,RAVE Mask JamesTheMuttz £7.43+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://dasteel.gumroad.com/l/Mayu-HeadStrap,dasteel,£,6.85,9.22,4,4,5.0,False,Mayu | Harness Headpiece | Head Strap DaSteel 5.0 (4) £6.85+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://dasteel.gumroad.com/l/Nardo-HeadStrap,dasteel,£,6.85,9.22,3,3,3.7,False,Nardoragon | Harness HeadGear | Head Strap DaSteel 3.7 (3) £6.85+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://icyvarix.gumroad.com/l/pooltoynovabeast,icyvarix,£,11.15,15.02,11,11,5.0,False,Pooltoy Novabeast Pack Icyvarix 5.0 (11) £11.15+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://skywolfcreations.gumroad.com/l/LongScarf,skywolfcreations,£,7.0,9.43,2,2,5.0,False,Long Scarf- VRChat Accessory SkyWolf Creations 5.0 (2) £7+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://yisto.gumroad.com/l/Spikes,yisto,£,3.72,5.01,,0,,False,Shackles & Chains 2.0 yisto £3.72
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://pxinky.gumroad.com/l/BGlasses,pxinky,£,2.23,3.0,,0,,False,B#%CHY Glasses for Novabeast PxINKY £2.23
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://thecaveoflahmu.gumroad.com/l/crystaltemplechestpiece,thecaveoflahmu,£,14.57,19.62,,0,,False,Crystal Temple's Chestpiece [For Alber's Draconian] Lahmu The Beast £1
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://tyrord.gumroad.com/l/mnien,tyrord,£,136.23,183.46,,0,,False,"Apollo slaying Python, in Art Deco style (original) Tyrord ☀ £136.23"
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://gunnos.gumroad.com/l/taktikalbakpak,gunnos,£,7.44,10.02,11,11,4.2,False,Universal Taktikal Bakpak GunnOS 4.2 (11) £7.44+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://solocat.gumroad.com/l/mayuglasses,solocat,£,3.72,5.01,10,10,5.0,False,"Square Frame Glasses for Mayu, Novabeast Solo 5.0 (10) £3.72+"
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://bigschmeatyy.gumroad.com/l/HairEssentials,bigschmeatyy,£,22.31,30.05,,0,,False,VRChat | Hair Bundle Meaty £22.31+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://furbo.gumroad.com/l/dovvnv,furbo,£,7.44,10.02,7,7,5.0,False,FυɾႦσ'ʂ Mҽʂʂყ Ⴆυɳ ʂƚყʅҽ // VRCԋαƚ // Aʋαƚαɾ αƈƈҽʂʂσɾყ Furbo_ 5.0 (7) £
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://javenchiart.gumroad.com/l/birdband,javenchiart,£,5.95,8.01,,0,,False,Customizeable Bird Band (PC/Quest) Javenchi £5.95
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://laptya.gumroad.com/l/RoundGlassesM,laptya,£,2.97,4.0,6,6,5.0,False,Round Spring Glasses - Mayu Laptya 5.0 (6) £2.97
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://inkblitz.gumroad.com/l/avaliaccess,inkblitz,£,8.92,12.01,4,4,5.0,False,Accessories Set - Spiri'Vali Inked Creations 5.0 (4) £8.92+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://thine.gumroad.com/l/MuteMask,thine,£,6.69,9.01,8,8,5.0,False,Mute Mask for Hyenid Thine 5.0 (8) £6.69+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://noxxykit.gumroad.com/l/fjxdb,noxxykit,£,5.21,7.02,1,1,5.0,False,Mayu Tail Ribbon NoxxyKit 5.0 (1) £5.21+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://xlevix.gumroad.com/l/mnqwzv,xlevix,£,8.92,12.01,8,8,4.3,False,Trash maw and paws for Rexouium Trash pup 4.3 (8) £8.92+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://tyrord.gumroad.com/l/olblx,tyrord,£,102.82,138.47,,0,,False,Small Apollo medal Tyrord ☀ £102.82
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://adamantunicorn.gumroad.com/l/Nharness,adamantunicorn,£,11.15,15.02,17,17,4.9,False,Novabeast Pentagram Harness Adamant Assets 4.9 (17) £11.15
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://inkblitz.gumroad.com/l/quadtra,inkblitz,£,8.92,12.01,,0,,False,"Quadtra 64 DigiScarf Set (Ultra themed scarf, bands) Inked Creations £"
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://zekk.gumroad.com/l/AuroraHalo,zekk,£,5.94,8.0,4,4,5.0,False,Aurora Shader Halo (VRChat) Zekk 5.0 (4) £5.94+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://honor1.gumroad.com/l/ikqfq,honor1,£,6.0,8.08,,0,,False,Pirate Captain Hat – VRChat 3D Accessory Honor £6.00
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://zekk.gumroad.com/l/audiohalo,zekk,£,3.72,5.01,20,20,5.0,False,Audio Halo (VRChat) Zekk 5.0 (20) £3.72+
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://adamantunicorn.gumroad.com/l/Vbulldog,adamantunicorn,£,7.44,10.02,12,12,5.0,False,Vulper and Meowper Bulldog Harness (VRCFury Compatible) Adamant Assets
3D > 3D Assets > Accessories,3d/3d-assets/accessories,https://rancherg99.gumroad.com/l/mgrta,rancherg99,£,5.21,7.02,2,2,5.0,False,Novabeast Piercing Set FT RancherG 5.0 (2) £5.21+
